cohort_groupings,n_pairs,addRel_min,addRel_max,mtdna,cnu,age_k1_meanFunction,USA_flag_10_k1_meanFunction,USA_flag_10_polychorFunction_rho,USA_flag_10_polychorFunction_se,USA_flag_10_polychorFunction_chisq,USA_flag_10_polychorFunction_df,USA_flag_10_ml_polychorFunction
1818,38,0,0.0002197265625,1,0,66.1578947368421,0.289473684210526,0.178098849774084,0.195234822680011,0.0000079999998661151,0,0.178090771872862
1919,625,0,0.0002197265625,1,0,66.7952,0.3864,0.00747605123406983,0.0457908518962371,0.00000799999952505459,0,0.00746150985418596
1818,168514,0,0.0002197265625,0,0,61.1945399405376,0.28626756996705,-0.0194617825559758,0.00305667102292053,0.00000799994450062513,0,-0.0194618965527794
1919,1087868,0,0.0002197265625,0,0,66.2324542230619,0.35518549340003,-0.00684054139709329,0.00112039644647591,0.00000800006091594696,0,-0.00684746864570366
1818,785,0.0002197265625,0.0002685546875,1,0,63.7853503184713,0.303184713375796,-0.0648106268573379,0.0437180680057609,0.00000800001816969598,0,-0.064811829592331
1919,2122,0.0002197265625,0.0002685546875,1,0,66.1385485391141,0.357445805843544,-0.0037995813435488,0.0253164477529611,0.00000800000088929664,0,-0.00381745047367545
1818,915379,0.0002197265625,0.0002685546875,0,0,61.2440444306463,0.298522018302986,-0.0300744155707265,0.00128841462989231,0.00000800006091594696,0,-0.0300746352122779
1919,3290838,0.0002197265625,0.0002685546875,0,0,65.5854676185751,0.359836997034099,-0.00153671217914713,0.000642030319055246,0.00000800192356109619,0,-0.00152202954735392
1919,36,0.0002685546875,0.000439453125,1,0,61.1805555555556,0.305555555555556,-0.0824535594077577,0.203442654387484,0.00000799999995138023,0,-0.082455329243449
1818,64711,0.0002685546875,0.000439453125,0,0,61.7444619763629,0.301017882556772,-0.0170922915707038,0.00483178566833818,0.00000800000270828605,0,-0.0170923861292631
1919,416964,0.0002685546875,0.000439453125,0,0,65.245601833254,0.348864985430082,-0.00386058937418158,0.00181764430097121,0.00000800052657723427,0,-0.00387669414602807
1818,3790,0.000439453125,0.000537109375,1,0,60.6982849604222,0.289182058047493,-0.0407646315550638,0.0202333113749684,0.00000800000998424366,0,-0.0407651228551505
1919,1049,0.000439453125,0.000537109375,1,0,65.3603431839848,0.280743565300286,-0.0480344740175479,0.0388760824500246,0.00000800000088929664,0,-0.0480350451804638
1818,3505386,0.000439453125,0.000537109375,0,0,61.0971937144684,0.305691877729357,-0.0247693403761044,0.000652965142654245,0.00000800192356109619,0,-0.024769432814349
1919,8616801,0.000439453125,0.000537109375,0,0,64.8028461371478,0.345742996483064,-0.00156611761434105,0.000400869500570666,0.00000800192356109619,0,-0.00154910620383982
1818,82,0.000537109375,0.00087890625,1,0,55.8170731707317,0.268292682926829,0.010929341355679,0.140978752504245,0.0000079999998661151,0,0.0109201094953594
1919,2184,0.000537109375,0.00087890625,1,0,63.2694597069597,0.303571428571429,-0.0311085864533673,0.026207605222181,0.00000800000634626485,0,-0.0311088687590241
1818,454789,0.000537109375,0.00087890625,0,0,60.7835244049288,0.300219500339808,-0.0199538481190735,0.00182300354926603,0.00000800052657723427,0,-0.0199539725005725
1919,1290979,0.000537109375,0.00087890625,0,0,65.1250283699425,0.347995858589341,0.000103717897415161,0.00103363652505299,0.0118977483361959,0,0.00022529524353888
1818,6167,0.00087890625,0.00107421875,1,0,56.3760337279066,0.235608886006162,-0.0491465744191679,0.0171916798399109,0.00000800000270828605,0,-0.0491473962800624
1919,15826,0.00087890625,0.00107421875,1,0,66.3443700240111,0.342853532162265,-0.00155436579112998,0.0093733761296539,0.00000799998815637082,0,-0.00153689610038444
,2,0.00087890625,0.00107421875,1,0,43,0.5,,,,,
1818,9534992,0.00087890625,0.00107421875,0,0,60.326039464223,0.291445194974406,-0.0235919562934133,0.000402388541197035,0.00000800937414169312,0,-0.0235921311860586
1919,14630094,0.00087890625,0.00107421875,0,0,64.8002557727709,0.343601322363728,0.00060915595197005,0.00030816239715326,0.00000800192356109619,0,0.000617501013191524
,542,0.00087890625,0.00107421875,0,0,68.3284132841328,0.370848708487085,,,,,
1818,3775,0.00107421875,0.0017578125,1,0,58.639396770319,0.250767382890698,-0.0325528530110686,0.0215899202484755,0.00000800000634626485,0,-0.032553254622189
1919,17154,0.00107421875,0.0017578125,1,0,62.6328261629941,0.310364929462516,-0.0109552820027078,0.0092791287657307,0.00000800001726020128,0,-0.0109553348430557
1818,1419108,0.00107421875,0.0017578125,0,0,60.5730677137462,0.294127456265197,-0.0212110165208111,0.00103967102162185,0.00000800006091594696,0,-0.0212111604836478
1919,4047661,0.00107421875,0.0017578125,0,0,64.4951071822145,0.340179999078398,0.000921858933294651,0.000587394871667217,0.00000799447298049927,0,0.000929754458030096
1818,34695,0.0017578125,0.0021484375,1,0,60.0373469122802,0.279820550178152,-0.0275568672946741,0.00677158473528874,0.00000800000270828605,0,-0.0275570802295065
1919,88521,0.0017578125,0.0021484375,1,0,66.3311959414035,0.349737580999622,0.00237969004634855,0.00394215929643146,0.00000799994450062513,0,0.00238270529511465
,143,0.0017578125,0.0021484375,1,0,62.7902097902098,0.34965034965035,,,,,
1818,17362485,0.0017578125,0.0021484375,0,0,59.9235219282277,0.282452851980167,-0.0216152492858486,0.000301520276926186,0.00000800192356109619,0,-0.0216153735932323
1919,21938891,0.0017578125,0.0021484375,0,0,64.9101834184355,0.342597181396642,0.00280510359532535,0.000251830951246566,0.00000798702239990234,0,0.00280782782859538
,31723,0.0017578125,0.0021484375,0,0,66.3521735018756,0.356360652633572,,,,,
1818,29219,0.0021484375,0.003515625,1,0,59.3127378707355,0.268832504714555,-0.00985000487705743,0.00748885639145773,0.00000800000270828605,0,-0.00985003686489815
1919,42219,0.0021484375,0.003515625,1,0,63.9461514771031,0.314257611130204,-0.00868151437153895,0.00589437662134308,0.0000080000318121165,0,-0.00868151007407501
1818,4301312,0.0021484375,0.003515625,0,0,59.953543045125,0.285430013646056,-0.021044766068749,0.000603610989286091,0.00000800192356109619,0,-0.021044893864711
1919,6573012,0.0021484375,0.003515625,0,0,64.0779053510192,0.332151267319938,-0.000422758225742959,0.000464188190269556,0.00000799447298049927,0,-0.000409887421267526
,402,0.0021484375,0.003515625,0,0,68.2412935323383,0.325870646766169,,,,,
1818,182567,0.003515625,0.004296875,1,0,60.7974226507135,0.285752697760303,-0.0194388609936995,0.00293152535597405,0.00000799994450062513,0,-0.0194389703604794
1919,247382,0.003515625,0.004296875,1,0,64.7999082138496,0.339972258056689,0.00363629847652986,0.00237691943675375,0.00000799982808530331,0,0.00363713831325303
,564,0.003515625,0.004296875,1,0,68.9804964539007,0.413120567375887,,,,,
1818,27344915,0.003515625,0.004296875,0,0,59.7815617855313,0.278565639141412,-0.0184070472049317,0.00024152046924445,0.00000800192356109619,0,-0.0184071444717971
1919,28874050,0.003515625,0.004296875,0,0,64.7672628408842,0.344183497238329,0.00241670409558317,0.000219255014318009,0.00000798702239990234,0,0.0024202354985556
,186144,0.003515625,0.004296875,0,0,65.3562460715264,0.349276460378616,,,,,
1818,93393,0.004296875,0.00703125,1,0,59.5564575764396,0.272295110082106,-0.0161510981389801,0.00416754714680307,0.00000799994450062513,0,-0.0161512075148227
1919,113799,0.004296875,0.00703125,1,0,64.93469863104,0.334577458906488,0.0150746795021438,0.00351920892701357,0.00000799994450062513,0,0.0150866764080009
,36,0.004296875,0.00703125,1,0,61.25,0.277777777777778,,,,,
1818,7550474,0.004296875,0.00703125,0,0,59.1549910536779,0.27211066235602,-0.0232417545496967,0.000463680956834331,0.00000801682472229004,0,-0.0232419561599802
1919,7483917,0.004296875,0.00703125,0,0,64.3396685922151,0.336578400223565,0.00370325221028513,0.000433292250045259,0.00000800192356109619,0,0.00370432002036553
,3747,0.004296875,0.00703125,0,0,68.8081131571924,0.383773685615159,,,,,
1818,563739,0.00703125,0.00859375,1,0,59.9724493829134,0.278936558811197,-0.0287576131260683,0.00168301962599083,0.00000800052657723427,0,-0.0287578728265309
1919,709519,0.00703125,0.00859375,1,0,64.5651694982744,0.344078305035758,0.00491292281512893,0.00139868962548925,0.00000800006091594696,0,0.00490995710011771
,2901,0.00703125,0.00859375,1,0,65.6749396759738,0.359531196139262,,,,,
1818,37569071,0.00703125,0.00859375,0,0,59.6680624051876,0.277242009048638,-0.0174566047753365,0.00020658426372284,0.00000801682472229004,0,-0.0174567300283548
1919,41096029,0.00703125,0.00859375,0,0,64.7521023019362,0.345590581145099,0.00428496430404919,0.000183555555223294,0.00000798702239990234,0,0.00428344458139638
,426366,0.00703125,0.00859375,0,0,65.3360917599043,0.350657820652378,,,,,
1818,265559,0.00859375,0.0140625,1,0,59.5161911400394,0.267877196023605,-0.0126601827331595,0.00248518041508265,0.00000800029374659061,0,-0.0126602780716482
1919,149544,0.00859375,0.0140625,1,0,64.1749921415721,0.335076064705174,0.0120126135739523,0.00306860385894463,0.00000799994450062513,0,0.012032666771773
,22,0.00859375,0.0140625,1,0,56.8636363636364,0.363636363636364,,,,,
1818,9329909,0.00859375,0.0140625,0,0,58.9028075719492,0.265557082511697,-0.021347082312855,0.000421039666677216,0.00000800937414169312,0,-0.0213472620966177
1919,5990322,0.00859375,0.0140625,0,0,64.3360631735841,0.341067847711475,0.00650256734552492,0.00048246054941752,0.00000799819827079773,0,0.00649572969089421
,3732,0.00859375,0.0140625,0,0,65.852625937835,0.371382636655949,,,,,
1818,1680421,0.0140625,0.0171875,1,0,59.6961144344884,0.276838779582466,-0.019661977678427,0.000977029739176254,0.00000800192356109619,0,-0.0196621288832677
1919,852860,0.0140625,0.0171875,1,0,63.8838367550846,0.335723258195159,0.00599017938632681,0.00128445883557547,0.00000799912959337235,0,0.0059853711856903
,18183,0.0140625,0.0171875,1,0,65.1603322149497,0.346132687864452,,,,,
1818,53092675,0.0140625,0.0171875,0,0,59.9131582317713,0.278122670920741,-0.016657017113626,0.000173699883697728,0.00000804662704467773,0,-0.0166571309344157
1919,29004292,0.0140625,0.0171875,0,0,64.2666923921399,0.34329392680124,0.00616788828361971,0.000218878165991295,0.00000798702239990234,0,0.00616168680270574
,938757,0.0140625,0.0171875,0,0,65.3007645997863,0.348653766034777,,,,,
1818,448368,0.0171875,0.028125,1,0,58.9668572168366,0.258422212920329,-0.0139696731599634,0.00193967338068194,0.00000799982808530331,0,-0.0139697736448102
1919,220575,0.0171875,0.028125,1,0,64.0641531677568,0.336774606082731,0.0165228346115485,0.0025220828354791,0.00000800006091594696,0,0.0165306529685049
,72,0.0171875,0.028125,1,0,68.8055555555556,0.458333333333333,,,,,
1818,8290198,0.0171875,0.028125,0,0,58.7270360707794,0.261179283065797,-0.0189505052383786,0.000449486417124717,0.00000800192356109619,0,-0.0189506647988441
1919,4202223,0.0171875,0.028125,0,0,64.1030362216395,0.341121044291086,0.0107451866348948,0.00057591505203149,0.00000799819827079773,0,0.0107271355452502
,4284,0.0171875,0.028125,0,0,64.8816526610644,0.342903828197946,,,,,
1818,2780052,0.028125,0.034375,1,0,58.8976218353991,0.260516788242624,-0.018245177015014,0.000778939055292626,0.00000800006091594696,0,-0.0182453217207409
1919,1099452,0.028125,0.034375,1,0,64.1220518049969,0.338341777529916,0.0153731601384747,0.00112821335673349,0.00000800006091594696,0,0.0153838284575234
,43760,0.028125,0.034375,1,0,64.4370900281124,0.340138076079005,,,,,
1818,47744060,0.028125,0.034375,0,0,59.4015119293204,0.266990963181926,-0.0186695752786957,0.000186535000145365,0.00000798702239990234,0,-0.0186697238227814
1919,18076304,0.028125,0.034375,0,0,64.1467369356059,0.342459913176319,0.0108008767222818,0.000277380949176586,0.00000798702239990234,0,0.0107824958610723
,1274041,0.028125,0.034375,0,0,64.6800549819762,0.342994380178785,,,,,
1818,667137,0.034375,0.05625,1,0,58.5008675808336,0.25354670988217,-0.0127378264118525,0.00160208751439526,0.00000799912959337235,0,-0.0127378909837168
1919,194137,0.034375,0.05625,1,0,63.9591460383608,0.335272206451347,0.0153662915258481,0.00269165237972991,0.00000799994450062513,0,0.0153774102992268
,103,0.034375,0.05625,1,0,65.9223300970874,0.427184466019417,,,,,
1818,6057661,0.034375,0.05625,0,0,58.442742316113,0.257561917335135,-0.0134977348936552,0.000528465408066893,0.00000800192356109619,0,-0.0134978104518607
1919,2091612,0.034375,0.05625,0,0,64.0651815611539,0.342912437133844,0.0127249353592138,0.000815019639756384,0.00000800006091594696,0,0.0127420676640634
,3506,0.034375,0.05625,0,0,63.6878744650499,0.333808844507846,,,,,
1818,3874806,0.05625,0.06875,1,0,58.8102988205661,0.254969768322293,-0.0120022577694116,0.000666664168114712,0.00000800192356109619,0,-0.012002290001281
1919,671648,0.05625,0.06875,1,0,63.4121077288255,0.330631576595697,0.0163326697135787,0.00145306074689909,0.00000800006091594696,0,0.0163418630353868
,38095,0.05625,0.06875,1,0,63.5106718122391,0.332886928207552,,,,,
1818,33017832,0.05625,0.06875,0,0,59.0622407430801,0.256169731048437,-0.0156690969319717,0.000228910855194153,0.00000795722007751465,0,-0.0156691837956206
1919,4882011,0.05625,0.06875,0,0,63.7058665775322,0.338086564243203,0.0169477616395183,0.000535525049316699,0.00000800192356109619,0,0.0169542839833787
,669835,0.05625,0.06875,0,0,63.5260933837034,0.331750263222742,,,,,
1818,711679,0.06875,0.1125,1,0,57.5522768534495,0.24234084404785,-0.00280239525428238,0.00157848020954935,0.00000800052657723427,0,-0.00280243920173244
1919,140602,0.06875,0.1125,1,0,63.4770082649331,0.336176296939131,0.0282012843117891,0.00315760295222269,0.00000799982808530331,0,0.0282016911623881
,124,0.06875,0.1125,1,0,67.7741935483871,0.435483870967742,,,,,
1818,3129964,0.06875,0.1125,0,0,57.8130621279536,0.249512721702628,-0.00424860049692679,0.00074398863482583,0.00000800192356109619,0,-0.00424857721463411
1919,627576,0.06875,0.1125,0,0,63.2722103659266,0.336365411514352,0.0248559234615579,0.00149505784959861,0.00000799959525465965,0,0.0248559223655599
,1590,0.06875,0.1125,0,0,64.7477987421384,0.350943396226415,,,,,
1818,3751465,0.1125,0.1375,1,0,58.1146151032258,0.241872760067311,0.00230160278101354,0.000691900793698952,0.00000800192356109619,0,0.0023168597079228
1919,869967,0.1125,0.1375,1,0,63.954773638257,0.340981517989016,0.0369448568032611,0.00126378235916485,0.00000800006091594696,0,0.0369448776328101
,15647,0.1125,0.1375,1,0,62.5188239054011,0.312663811289395,,,,,
1818,14376030,0.1125,0.1375,0,0,58.5413747464064,0.241625492936954,0.00252249661288846,0.000356005634242803,0.00000800192356109619,0,0.00253718974041769
1919,2581467,0.1125,0.1375,0,0,64.17439951214,0.343762206198734,0.0290757936675964,0.000732474877996402,0.00000800006091594696,0,0.0290721155756334
,177055,0.1125,0.1375,0,0,62.4379806198266,0.314989375649894,,,,,
1818,521850,0.1375,0.225,1,0,56.628034116841,0.23014563689148,0.0350904415545239,0.00187366453318756,0.00000799959525465965,0,0.0350904154987747
1919,70007,0.1375,0.225,1,0,62.8615329666405,0.328422406401829,0.0471317444648577,0.00449819942619207,0.00000800017733126879,0,0.0471318515955713
,10,0.1375,0.225,1,0,70.5,0.3,,,,,
1818,901478,0.1375,0.225,0,0,57.1042810251259,0.233777274487654,0.0246842041578801,0.00141886460627826,0.00000800006091594696,0,0.0246841865800273
1919,126695,0.1375,0.225,0,0,63.407499526246,0.332011955573279,0.0287782718464436,0.003339041392501,0.00000799994450062513,0,0.0287901581696414
,233,0.1375,0.225,0,0,57.5665236051502,0.266094420600858,,,,,
1818,3321049,0.225,0.275,1,0,58.4337968447,0.243029280817013,0.0389954596489962,0.000729440352584965,0.00000799819827079773,0,0.0389954534328419
1919,289525,0.225,0.275,1,0,62.9726599342885,0.325156744821676,0.0530652476673473,0.00221703265585047,0.00000800122506916523,0,0.0530654160973491
,6676,0.225,0.275,1,0,62.5223970037453,0.301768055139347,,,,,
1818,4731062,0.225,0.275,0,0,59.7044974591852,0.243160650810946,0.0376280858557477,0.000616681177809174,0.00000800564885139465,0,0.0376280639626671
1919,204410,0.225,0.275,0,0,62.9518404517695,0.327230012480728,0.0494835469064657,0.00263484269234884,0.00000805186573415995,0,0.0494842123158592
,47952,0.225,0.275,0,0,63.9434757216753,0.318186559846446,,,,,
1818,92865,0.275,0.45,1,1,52.8435186435187,0.179138334242491,0.141999448043643,0.00481025211612369,0.00000834342790767551,0,0.142003125028801
1919,27159,0.275,0.45,1,1,62.1589686924494,0.307319678774037,0.135488202748493,0.00725660556517615,0.00000802188878878951,0,0.135488658107991
1818,131469,0.275,0.45,1,0,58.1072841880749,0.225138747633577,0.0939383236371438,0.00372149948771771,0.00000800134148448706,0,0.0939387382597038
1919,6476,0.275,0.45,1,0,62.3355466337245,0.331274131274131,0.0810839286565214,0.014687837516738,0.00000801090936874971,0,0.0810828400082165
,2,0.275,0.45,1,0,45,0.5,,,,,
1818,106427,0.275,0.45,0,0,59.7504046601796,0.230869135570091,0.0746692838444376,0.00411293195319916,0.00000800116686150432,0,0.0746611804517977
1919,2554,0.275,0.45,0,0,62.5522709475333,0.325371965544244,0.0974146360697156,0.0234415025539888,0.00000800443558546249,0,0.0974169453633905
,8,0.275,0.45,0,0,45.5,0,,,,,
1818,1110646,0.45,0.55,1,1,54.5775293391483,0.217011783688086,0.140916887862992,0.00128282766198562,0.000943838618695736,0,0.140878650257857
1919,557559,0.45,0.55,1,1,63.3239580259382,0.338089069581349,0.124301876209238,0.00156238688974607,0.00000800099223852158,0,0.124303406822773
1818,688449,0.45,0.55,1,0,65.5823289056726,0.261002146377082,0.149318283781354,0.0015550228870222,0.00000800564885139465,0,0.149319866206743
1919,16450,0.45,0.55,1,0,71.2920149548619,0.370865758754864,0.108392507823467,0.00891692653420889,0.00000802028807811439,0,0.108395018570026
,24542,0.45,0.55,1,0,63.9825948722129,0.346597627104823,,,,,
1818,721258,0.45,0.55,0,0,65.5010406322888,0.260356028862212,0.114587871570574,0.00155060784634972,0.0000080023892223835,0,0.114588720074762
1919,6296,0.45,0.55,0,0,68.4323723294417,0.312177297640798,0.0924690846732706,0.0151293955097913,0.00000800918496679515,0,0.0924682192304828
,20089,0.45,0.55,0,0,63.8400219079865,0.345251730491509,,,,,
1818,36247,0.55,0.9,1,1,62.5064490291933,0.210821410815887,0.9999,Inf,23244.2635183633,0,0.950188781342322
1919,8540,0.55,0.9,1,1,65.0646370023419,0.32618880299836,0.9999,Inf,6070.67872681248,0,0.957729412162096
1818,4597,0.55,0.9,1,0,61.9051611498258,0.230727351916376,0.121365460210927,0.0195727509462288,0.00000800370617071167,0,0.121367381949888
1919,42,0.55,0.9,1,0,62.8809523809524,0.285714285714286,0.305801988582693,0.176933198992357,0.00000810794998074016,0,0.305726111902475
1818,2736,0.55,0.9,0,0,61.7866032210835,0.228587115666179,0.124683454480217,0.0254347780731803,0.00000801876376499422,0,0.124687720965273
1919,8,0.55,0.9,0,0,61.0625,0.1875,-0.921566552903107,5.33563005056047,0.0000099460824714015,0,-0.982347635838105
1818,535831,0.9,1.1,1,1,59.7332165180323,0.202590031814946,0.9999,Inf,6833.16358868452,0,0.9999
1919,327830,0.9,1.1,1,1,64.3328736614089,0.339831806614223,0.9999,Inf,5431.33132920275,0,0.9999
,155268,0.9,1.1,1,1,,,,,,,
1818,274,1.1,1.5,1,1,45.5054945054945,0.135531135531136,0.9999,Inf,2.68959116487611,0,0.9999
1919,78,1.1,1.5,1,1,53.7307692307692,0.217948717948718,0.9999,Inf,1.03935369162568,0,0.9999
